anio,provincia_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
2000,Buenos Aires,19800,19800,32900,1662
2000,Buenos Aires,19500,19500,27300,1400
2000,Buenos Aires,9000,7200,20200,2806
2000,Buenos Aires,1500,1450,2200,1517
2000,Buenos Aires,39000,38200,70700,1851
2000,Buenos Aires,18000,17600,31700,1801
2000,Buenos Aires,39000,39000,124800,3200
2000,Buenos Aires,54000,54000,167400,3100
2000,Buenos Aires,16000,15650,26600,1700
2000,Buenos Aires,20000,17000,30600,1800
2000,Buenos Aires,20000,16490,46200,2802
2000,Buenos Aires,3700,3700,11100,3000
2000,Buenos Aires,1080,1080,3500,3241
2000,Buenos Aires,25000,25000,80000,3200
2000,Buenos Aires,42000,40000,108000,2700
2000,Buenos Aires,25500,24000,60000,2500
2000,Buenos Aires,16000,16000,51200,3200
2000,Buenos Aires,500,480,700,1458
2000,Buenos Aires,40000,40000,136000,3400
2000,Buenos Aires,6500,6500,5900,908
2000,Buenos Aires,12000,12000,16800,1400
2000,Buenos Aires,35000,34600,86500,2500
2000,Buenos Aires,34000,33500,100500,3000
2000,Buenos Aires,1440,1440,4600,3194
2000,Buenos Aires,10000,8330,23300,2797
2000,Buenos Aires,36250,36250,68900,1901
2000,Buenos Aires,500,480,700,1458
2000,Buenos Aires,8800,8800,26400,3000
2000,Buenos Aires,16000,15500,43400,2800
2000,Buenos Aires,4000,3900,6800,1744
2000,Buenos Aires,10000,9000,17100,1900
2000,Buenos Aires,27000,26500,84800,3200
2000,Buenos Aires,1620,1620,5000,3086
2000,Buenos Aires,1200,1160,1900,1638
2000,Buenos Aires,7000,6650,13300,2000
2000,Buenos Aires,200,200,600,3000
2000,Buenos Aires,25000,24500,68600,2800
2000,Buenos Aires,1700,1650,2900,1758
2000,Buenos Aires,200,200,600,3000
2000,Buenos Aires,30000,29500,82600,2800
2000,Buenos Aires,70000,69600,194900,2800
2000,Buenos Aires,13000,12950,24100,1861
2000,Buenos Aires,10400,8900,16000,1798
2000,Buenos Aires,30000,29600,88800,3000
2000,Buenos Aires,5800,5800,8700,1500
2000,Buenos Aires,720,648,1200,1852
2000,Buenos Aires,19000,18500,51800,2800
2000,Buenos Aires,30000,29000,81200,2800
2000,Buenos Aires,13000,12700,21600,1701
2000,Buenos Aires,3600,3600,11200,3111
2000,Buenos Aires,4500,4300,12900,3000
2000,Buenos Aires,2000,1930,3100,1606
2000,Buenos Aires,700,670,1100,1642
2000,Buenos Aires,200,200,600,3000
2000,Buenos Aires,4850,4700,12200,2596
2000,Buenos Aires,1080,930,2900,3118
2000,Buenos Aires,3060,2910,9300,3196
2000,Buenos Aires,20500,20500,30800,1502
2000,Buenos Aires,55000,42240,109800,2599
2000,Buenos Aires,31500,31500,63000,2000
2000,Buenos Aires,39500,38000,102600,2700
2000,Buenos Aires,4700,4700,9000,1915
2000,Buenos Aires,135000,135000,432000,3200
2000,Buenos Aires,200,200,600,3000
2000,Buenos Aires,5000,4850,8730,1800
2000,Buenos Aires,48000,48000,144000,3000
2000,Buenos Aires,3200,3120,4800,1538
2000,Buenos Aires,44200,43000,120400,2800
2000,Buenos Aires,36000,35900,125700,3501
2000,Buenos Aires,2520,2520,8100,3214
2000,Buenos Aires,8000,7650,15300,2000
2000,Buenos Aires,4680,4680,15000,3205
2000,Buenos Aires,64000,64000,211200,3300
2000,Buenos Aires,5700,5620,9600,1708
2000,Buenos Aires,10000,9900,29700,3000
2000,Buenos Aires,35500,35500,117200,3301
2000,Buenos Aires,6500,6500,6500,1000
2000,Buenos Aires,32500,32500,97500,3000
